doi,total,ref_total_with_doi,ref_duplicates,ref_auto_location,manual_location,ref_manual_location_false,cit_total,cit_total_with_doi,cit_duplicates,cit_auto_location,cit_manual_location,cit_manual_location_false
10.1145/1592568.1592585,40,25,0,4,0,4,254,244,0,46,0,46
10.1145/997078.997089,28,6,1,2,2,0,373,357,4,76,33,43
10.1145/572020.572044,6,0,0,0,0,0,104,97,9,13,3,10
10.1145/2207676.2208573,26,14,4,1,0,1,99,98,4,9,3,6
10.1145/1357054.1357292,16,8,4,0,0,0,88,83,8,5,1,4
10.1145/2207676.2208572,21,6,3,0,0,0,83,82,3,5,2,3
10.1145/1463160.1463214,22,4,3,0,0,0,79,76,5,4,2,2
